OrganizationIdentifier.x,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.TimeZoneCode,MonitoringLocationIdentifier,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure
USGS-AL,Water,Surface Water,5/10/2016,CDT,USGS-02398980,Dissolved,NA,No Unit,34.3887306,-85.6203306
USGS-AL,Water,Surface Water,5/10/2016,CDT,USGS-02399100,Dissolved,NA,No Unit,34.3505194,-85.6723333
USGS-AL,Water,Surface Water,5/10/2016,CDT,USGS-02399200,Dissolved,NA,No Unit,34.2889813,-85.6805204
USGS-AL,Water,Surface Water,1/28/2016,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,2/10/2016,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,2/25/2016,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/9/2016,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/30/2016,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,4/6/2016,CDT,USGS-02429500,Dissolved,1.9,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,4/21/2016,CDT,USGS-02429500,Dissolved,2.63,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,5/4/2016,CDT,USGS-02429500,Dissolved,2.53,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,5/19/2016,CDT,USGS-02429500,Dissolved,4.2,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,6/30/2016,CDT,USGS-02429500,Dissolved,2.31,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,7/28/2016,CDT,USGS-02429500,Dissolved,6.31,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,8/31/2016,CDT,USGS-02429500,Dissolved,3.47,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,10/5/2016,CDT,USGS-02429500,Dissolved,4.5,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,12/15/2016,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,1/23/2017,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,2/22/2017,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,2/28/2017,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/16/2017,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/29/2017,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,4/11/2017,CDT,USGS-02429500,Dissolved,1.37,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,4/26/2017,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,5/16/2017,CDT,USGS-02429500,Dissolved,4.08,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,5/25/2017,CDT,USGS-02429500,Dissolved,5.01,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,6/20/2017,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,7/26/2017,CDT,USGS-02429500,Dissolved,2.71,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,8/1/2017,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,10/30/2017,CDT,USGS-02429500,Dissolved,3.93,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,12/6/2017,CST,USGS-02429500,Dissolved,1.76,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,1/19/2018,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,2/7/2018,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,2/21/2018,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/8/2018,CST,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/21/2018,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,4/3/2018,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,4/26/2018,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,5/17/2018,CDT,USGS-02429500,Dissolved,1.23,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,6/1/2018,CDT,USGS-02429500,Dissolved,4.29,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,6/6/2018,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,7/9/2018,CDT,USGS-02429500,Dissolved,6.47,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,8/27/2018,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,10/17/2018,CDT,USGS-02429500,Dissolved,4.15,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,12/19/2018,CST,USGS-02429500,Dissolved,1.13,ng/l,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,3/26/2019,CDT,USGS-02429500,Dissolved,NA,No Unit,31.5468275,-87.5124908
USGS-AL,Water,Surface Water,1/27/2016,CST,USGS-02469762,Dissolved,1.7,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,2/9/2016,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/10/2016,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/31/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,4/20/2016,CDT,USGS-02469762,Dissolved,3,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/3/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/18/2016,CDT,USGS-02469762,Dissolved,3.04,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,6/2/2016,CDT,USGS-02469762,Dissolved,2.17,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/21/2016,CDT,USGS-02469762,Dissolved,2.25,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/27/2016,CDT,USGS-02469762,Dissolved,2.76,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,8/18/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/16/2016,CDT,USGS-02469762,Dissolved,2.46,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/27/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,10/18/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/9/2016,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/29/2016,CST,USGS-02469762,Dissolved,4.03,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,12/13/2016,CST,USGS-02469762,Dissolved,2.24,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,1/18/2017,CST,USGS-02469762,Dissolved,2.59,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,1/24/2017,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,2/8/2017,CST,USGS-02469762,Dissolved,2.4,ng/l,31.7571018,-88.1250095
